2018-07-31 16:03:26.55: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:27.18: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:28.22: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:29.19: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210251, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:30.19: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210251, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:31.23: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210267, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:32.20: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210267, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:33.23: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210267, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:34.24: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210267, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:34.41: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129947, onboard_control_sensors_health : 3210267, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:36.41: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 613, voltage_battery : 16565, current_battery : 11, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:37.00: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 598, voltage_battery : 16565, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
